shot_number,club,ball_speed_of,ball_speed_tm,spin_tm,expected_spin_rpm,env_rpm,env_detected,env_confidence,env_rejection_reason,env_error_rpm,freq_hop32_rpm,freq_hop32_detected,freq_hop32_snr,freq_hop32_persistent,freq_hop32_n_windows,freq_hop32_rejection_reason,freq_hop32_error_rpm,mag_hop32_rpm,mag_hop32_detected,mag_hop32_snr,mag_hop32_persistent,mag_hop32_n_windows,mag_hop32_rejection_reason,mag_hop32_error_rpm,freq_hop16_rpm,freq_hop16_detected,freq_hop16_snr,freq_hop16_persistent,freq_hop16_n_windows,freq_hop16_rejection_reason,freq_hop16_error_rpm,mag_hop16_rpm,mag_hop16_detected,mag_hop16_snr,mag_hop16_persistent,mag_hop16_n_windows,mag_hop16_rejection_reason,mag_hop16_error_rpm
14,pw,99.891,103.678,7890.927,11520,,False,0,"Lower-rail peak at 2417 RPM (mod 0.7357, SNR 3.7, envelope-drift leakage suspected)",,,False,1.53,False,53,SNR 1.53 below 2.5,,,False,3.34,False,53,Seam tone not persistent across track halves,,,False,1.51,False,104,SNR 1.51 below 2.5,,,False,3.32,False,104,Seam tone not persistent across track halves,
15,pw,98.873,102.715,7337.283,11520,4834,True,0.3,,-2503.3,,False,4.01,False,43,Seam tone not persistent across track halves,,,False,3.56,False,43,"Too few seam cycles (1.5, need 2)",,,False,4.03,False,85,Seam tone not persistent across track halves,,,False,3.36,False,85,Seam tone not persistent across track halves,
16,pw,100.095,104.15,7570.058,11157,,False,0,"Lower-rail peak at 2417 RPM (mod 0.7832, SNR 3.4, envelope-drift leakage suspected)",,,False,2.9,False,53,Seam tone not persistent across track halves,,,False,5.66,False,53,"Too few seam cycles (1.9, need 2)",,,False,2.85,False,104,Seam tone not persistent across track halves,,,False,5.3,False,104,"Too few seam cycles (1.9, need 2)",
17,9-iron,104.677,108.608,6314.008,9770,,False,0,"SNR too low (0.54, need 2.5)",,,False,2.85,False,57,Seam tone not persistent across track halves,,,False,1.79,False,57,SNR 1.79 below 2.5,,,False,2.87,False,111,Seam tone not persistent across track halves,,,False,1.83,False,111,SNR 1.83 below 2.5,
18,9-iron,102.946,106.621,6987.822,9826,,False,0,"SNR too low (0.49, need 2.5)",,,False,2.57,False,58,Seam tone not persistent across track halves,,,False,1.68,False,58,SNR 1.68 below 2.5,,,False,2.59,False,115,Seam tone not persistent across track halves,,,False,1.68,False,115,SNR 1.68 below 2.5,
19,9-iron,105.695,109.623,5790.74,9738,5273,True,0.3,,-517.7,,False,3.17,False,50,Seam tone not persistent across track halves,,,False,3.72,False,50,Seam tone not persistent across track halves,,,False,3.28,False,98,Seam tone not persistent across track halves,,,False,3.7,False,98,Seam tone not persistent across track halves,
20,9-iron,104.982,108.769,6728.316,9761,,False,0,"SNR too low (0.47, need 2.5)",,,False,2.89,False,60,Seam tone not persistent across track halves,,,False,1.6,False,60,SNR 1.60 below 2.5,,,False,2.89,False,120,Seam tone not persistent across track halves,,,False,1.59,False,120,SNR 1.59 below 2.5,
21,9-iron,107.222,110.735,6262.722,9689,4834,True,0.3,,-1428.7,,False,3.72,False,52,Seam tone not persistent across track halves,,,False,3.43,False,52,Seam tone not persistent across track halves,,,False,3.65,False,99,Seam tone not persistent across track halves,,,False,3.32,False,99,Seam tone not persistent across track halves,
22,8-iron,105.593,109.529,5678.077,8523,4175,True,0.7,,-1503.1,,False,5.59,False,68,Seam tone not persistent across track halves,,3941,True,6.95,True,68,,-1736.7,,False,4.89,False,115,Seam tone not persistent across track halves,,4106,True,5.97,True,115,,-1571.9
23,8-iron,98.974,100.81,4537.161,8960,,False,0.5,,,,False,6.97,False,63,Peak at lower rail of seam band,,,False,24.48,True,63,Peak at lower rail of seam band,,,False,6.96,True,125,Peak at lower rail of seam band,,,False,24.29,True,125,Peak at lower rail of seam band,
